Name,Precision,Recall,F1,Accuracy
Logistic Regression,0.0,0.0,0.0,0.5066666666666667
SVM,0.0,0.0,0.0,0.5066666666666667
Multilayer Perceptron,0.0,0.0,0.0,0.5066666666666667
